# Append-only custom flag ledger.
# Never edit or remove an existing row. Add new IDs only at the end.
# Removed flags remain reserved under their original name.
0x000 FLAG_QUEST_PALLET_TOWN_STARTED
0x028 FLAG_QUEST_AZALEA_NPCS_STARTED
0x029 FLAG_QUEST_AZALEA_NPCS_COMPLETED
0x02A FLAG_QUEST_DEFEAT_BUGSY_STARTED
0x02B FLAG_QUEST_DEFEAT_BUGSY_COMPLETED
0x02C FLAG_QUEST_CHERRYGROVE_NPCS_STARTED
0x02D FLAG_QUEST_CHERRYGROVE_NPCS_COMPLETED
0x02E FLAG_QUEST_NEW_BARK_NPCS_STARTED
0x02F FLAG_QUEST_NEW_BARK_NPCS_COMPLETED
0x030 FLAG_QUEST_GOLDS_MOM_STARTED
0x031 FLAG_QUEST_GOLDS_MOM_COMPLETED
0x032 FLAG_QUEST_BACK_TO_HQ_STARTED
0x033 FLAG_QUEST_BACK_TO_HQ_COMPLETED
0x034 FLAG_QUEST_THUNDERBIRD_STARTED
0x035 FLAG_QUEST_THUNDERBIRD_COMPLETED
0x036 FLAG_QUEST_ICEBIRD_STARTED
0x037 FLAG_QUEST_ICEBIRD_COMPLETED
0x038 FLAG_QUEST_FIREBIRD_STARTED
0x039 FLAG_QUEST_FIREBIRD_COMPLETED
0x03A FLAG_QUEST_PHOENIX_STARTED
0x03B FLAG_QUEST_PHOENIX_COMPLETED
0x03C FLAG_QUEST_SHINING_BEAST_STARTED
0x03D FLAG_QUEST_SHINING_BEAST_COMPLETED
0x03E FLAG_QUEST_GIMMI_MY_MONEY_STARTED
0x03F FLAG_QUEST_GIMMI_MY_MONEY_COMPLETED
0x040 FLAG_QUEST_LAVENDER_NPCS_STARTED
0x041 FLAG_QUEST_LAVENDER_NPCS_COMPLETED
0x042 FLAG_QUEST_CELADON_NPCS_STARTED
0x043 FLAG_QUEST_CELADON_NPCS_COMPLETED
0x044 FLAG_QUEST_SAFFRON_NPCS_STARTED
0x045 FLAG_QUEST_SAFFRON_NPCS_COMPLETED
0x046 FLAG_QUEST_VERMILION_NPCS_STARTED
0x047 FLAG_QUEST_VERMILION_NPCS_COMPLETED
0x048 FLAG_QUEST_GOLDENROD_NPCS_STARTED
0x049 FLAG_QUEST_GOLDENROD_NPCS_COMPLETED
0x04A FLAG_QUEST_RUSTBORO_NPCS_STARTED
0x04B FLAG_QUEST_RUSTBORO_NPCS_COMPLETED
0x04C FLAG_QUEST_ODD_KEYSTONE_STARTED
0x04D FLAG_QUEST_ODD_KEYSTONE_COMPLETED
0x04E FLAG_QUEST_ERICA_STARTED
0x04F FLAG_QUEST_ERICA_COMPLETED
0x050 FLAG_QUEST_MEGA_MOMENTS_STARTED
0x051 FLAG_QUEST_MEGA_MOMENTS_COMPLETED
0x052 FLAG_QUEST_MACHINE_PART_STARTED
0x053 FLAG_QUEST_MACHINE_PART_COMPLETED
0x054 FLAG_QUEST_ALOLA_LILLIE_STARTED
0x055 FLAG_QUEST_ALOLA_LILLIE_COMPLETED
0x056 FLAG_QUEST_NEBBY_POWERHOUSE_STARTED
0x057 FLAG_QUEST_NEBBY_POWERHOUSE_COMPLETED
0x058 FLAG_QUEST_WHITNEY_STARTED
0x059 FLAG_QUEST_WHITNEY_COMPLETED
0x05A FLAG_QUEST_CIPHER_TAKEOVER_STARTED
0x05B FLAG_QUEST_CIPHER_TAKEOVER_COMPLETED
0x05C FLAG_QUEST_100_POWER_STARTED
0x05D FLAG_QUEST_100_POWER_COMPLETED
0x05E FLAG_QUEST_LT_SURGE_STARTED
0x05F FLAG_QUEST_LT_SURGE_COMPLETED
0x060 FLAG_QUEST_STARTERS_STOLEN_STARTED
0x061 FLAG_QUEST_STARTERS_STOLEN_COMPLETED
0x062 FLAG_QUEST_ROCKY_ROXY_STARTED
0x063 FLAG_QUEST_ROCKY_ROXY_COMPLETED
0x064 FLAG_QUEST_FIND_BRENDAN_MAY_STARTED
0x065 FLAG_QUEST_FIND_BRENDAN_MAY_COMPLETED
0x066 FLAG_QUEST_MORE_TO_COME_STARTED
0x067 FLAG_QUEST_MORE_TO_COME_COMPLETED
0x068 FLAG_QUEST_GOLDENROD_CITY_INFO_STARTED
0x069 FLAG_QUEST_GOLDENROD_CITY_INFO_COMPLETED
0x06A FLAG_CUSTOM_RETIRED_WES_HIDEOUT_LAYOUT_STATE
0x06B FLAG_ITEM_AZALEA_TOWN_APRICORN_SET
0x06C FLAG_ITEM_AZALEA_TOWN_LEVEL_BALL
0x06D FLAG_ITEM_SLOWPOKE_WELL_B2F_TM_WATER_PULSE
