Overworld Wild Encounter Maps (gWildMonHeaders)
Format: MAP_NAME | Time | BaseLabel | Types
MAP_DARK_CAVE_NORTH_SIDE | Morning | gDarkCave_NorthSide_Morning | land, water, rock_smash, fishing
MAP_DARK_CAVE_NORTH_SIDE | Day | gDarkCave_NorthSide_Day | land, water, rock_smash, fishing
MAP_DARK_CAVE_NORTH_SIDE | Evening | gDarkCave_NorthSide_Evening | land, water, rock_smash, fishing
MAP_DARK_CAVE_NORTH_SIDE | Night | gDarkCave_NorthSide_Night | land, water, rock_smash, fishing
MAP_DARK_CAVE_SOUTH_SIDE | Morning | gDarkCave_SouthSide_Morning | land, water, rock_smash, fishing
MAP_DARK_CAVE_SOUTH_SIDE | Day | gDarkCave_SouthSide_Day | land, water, rock_smash, fishing
MAP_DARK_CAVE_SOUTH_SIDE | Evening | gDarkCave_SouthSide_Evening | land, water, rock_smash, fishing
MAP_DARK_CAVE_SOUTH_SIDE | Night | gDarkCave_SouthSide_Night | land, water, rock_smash, fishing
MAP_DESERT_UNDERPASS | Morning | gDesertUnderpass_Morning | land
MAP_DESERT_UNDERPASS | Day | gDesertUnderpass_Day | land
MAP_DESERT_UNDERPASS | Evening | gDesertUnderpass_Evening | land
MAP_DESERT_UNDERPASS | Night | gDesertUnderpass_Night | land
MAP_DEWFORD_TOWN | Morning | gDewfordTown_Morning | water, fishing
MAP_DEWFORD_TOWN | Day | gDewfordTown_Day | water, fishing
MAP_DEWFORD_TOWN | Evening | gDewfordTown_Evening | water, fishing
MAP_DEWFORD_TOWN | Night | gDewfordTown_Night | water, fishing
MAP_DIGLETTS_CAVE_NORTH | Morning | gDiglettsCave_North_Morning | land, water, rock_smash, fishing
MAP_DIGLETTS_CAVE_NORTH | Day | gDiglettsCave_North_Day | land, water, rock_smash, fishing
MAP_DIGLETTS_CAVE_NORTH | Evening | gDiglettsCave_North_Evening | land, water, rock_smash, fishing
MAP_DIGLETTS_CAVE_NORTH | Night | gDiglettsCave_North_Night | land, water, rock_smash, fishing
MAP_DIGLETTS_CAVE_SOUTH | Morning | gDiglettsCave_South_Morning | land, water, rock_smash, fishing
MAP_DIGLETTS_CAVE_SOUTH | Day | gDiglettsCave_South_Day | land, water, rock_smash, fishing
MAP_DIGLETTS_CAVE_SOUTH | Evening | gDiglettsCave_South_Evening | land, water, rock_smash, fishing
MAP_DIGLETTS_CAVE_SOUTH | Night | gDiglettsCave_South_Night | land, water, rock_smash, fishing
MAP_DIGLETTS_CAVE_TUNNEL | Morning | gDiglettsCave_Tunnel_Morning | land, water, rock_smash, fishing
MAP_DIGLETTS_CAVE_TUNNEL | Day | gDiglettsCave_Tunnel_Day | land, water, rock_smash, fishing
MAP_DIGLETTS_CAVE_TUNNEL | Evening | gDiglettsCave_Tunnel_Evening | land, water, rock_smash, fishing
MAP_DIGLETTS_CAVE_TUNNEL | Night | gDiglettsCave_Tunnel_Night | land, water, rock_smash, fishing
MAP_DRAGONS_DEN_CAVERN | Morning | gDragonsDen_Cavern_Morning | land, water, rock_smash, fishing
MAP_DRAGONS_DEN_CAVERN | Day | gDragonsDen_Cavern_Day | land, water, rock_smash, fishing
MAP_DRAGONS_DEN_CAVERN | Evening | gDragonsDen_Cavern_Evening | land, water, rock_smash, fishing
MAP_DRAGONS_DEN_CAVERN | Night | gDragonsDen_Cavern_Night | land, water, rock_smash, fishing
MAP_DRAGONS_DEN_ENTRANCE | Morning | gDragonsDen_Entrance_Morning | land, water, rock_smash, fishing
MAP_DRAGONS_DEN_ENTRANCE | Day | gDragonsDen_Entrance_Day | land, water, rock_smash, fishing
MAP_DRAGONS_DEN_ENTRANCE | Evening | gDragonsDen_Entrance_Evening | land, water, rock_smash, fishing
MAP_DRAGONS_DEN_ENTRANCE | Night | gDragonsDen_Entrance_Night | land, water, rock_smash, fishing
MAP_DRAGONS_DEN_SHRINE | Morning | gDragonsDen_Shrine_Morning | land, water, rock_smash, fishing
MAP_DRAGONS_DEN_SHRINE | Day | gDragonsDen_Shrine_Day | land, water, rock_smash, fishing
MAP_DRAGONS_DEN_SHRINE | Evening | gDragonsDen_Shrine_Evening | land, water, rock_smash, fishing
MAP_DRAGONS_DEN_SHRINE | Night | gDragonsDen_Shrine_Night | land, water, rock_smash, fishing
MAP_EVER_GRANDE_CITY | Morning | gEverGrandeCity_Morning | water, fishing
MAP_EVER_GRANDE_CITY | Day | gEverGrandeCity_Day | water, fishing
MAP_EVER_GRANDE_CITY | Evening | gEverGrandeCity_Evening | water, fishing
MAP_EVER_GRANDE_CITY | Night | gEverGrandeCity_Night | water, fishing
MAP_FIERY_PATH | Morning | gFieryPath_Morning | land
MAP_FIERY_PATH | Day | gFieryPath_Day | land
MAP_FIERY_PATH | Evening | gFieryPath_Evening | land
MAP_FIERY_PATH | Night | gFieryPath_Night | land
MAP_GRANITE_CAVE_1F | Morning | gGraniteCave_1F_Morning | land
MAP_GRANITE_CAVE_1F | Day | gGraniteCave_1F_Day | land
MAP_GRANITE_CAVE_1F | Evening | gGraniteCave_1F_Evening | land
MAP_GRANITE_CAVE_1F | Night | gGraniteCave_1F_Night | land
MAP_GRANITE_CAVE_B1F | Morning | gGraniteCave_B1F_Morning | land
MAP_GRANITE_CAVE_B1F | Day | gGraniteCave_B1F_Day | land
MAP_GRANITE_CAVE_B1F | Evening | gGraniteCave_B1F_Evening | land
MAP_GRANITE_CAVE_B1F | Night | gGraniteCave_B1F_Night | land
MAP_GRANITE_CAVE_B2F | Morning | gGraniteCave_B2F_Morning | land, rock_smash
MAP_GRANITE_CAVE_B2F | Day | gGraniteCave_B2F_Day | land, rock_smash
MAP_GRANITE_CAVE_B2F | Evening | gGraniteCave_B2F_Evening | land, rock_smash
MAP_GRANITE_CAVE_B2F | Night | gGraniteCave_B2F_Night | land, rock_smash
MAP_GRANITE_CAVE_STEVENS_ROOM | Morning | gGraniteCave_StevensRoom_Morning | land
MAP_GRANITE_CAVE_STEVENS_ROOM | Day | gGraniteCave_StevensRoom_Day | land
MAP_GRANITE_CAVE_STEVENS_ROOM | Evening | gGraniteCave_StevensRoom_Evening | land
MAP_GRANITE_CAVE_STEVENS_ROOM | Night | gGraniteCave_StevensRoom_Night | land
MAP_ICE_PATH_1F | Morning | gIcePath_1F_Morning | land, water, rock_smash, fishing
MAP_ICE_PATH_1F | Day | gIcePath_1F_Day | land, water, rock_smash, fishing
MAP_ICE_PATH_1F | Evening | gIcePath_1F_Evening | land, water, rock_smash, fishing
MAP_ICE_PATH_1F | Night | gIcePath_1F_Night | land, water, rock_smash, fishing
MAP_ICE_PATH_B1F | Morning | gIcePath_B1F_Morning | land, water, rock_smash, fishing
MAP_ICE_PATH_B1F | Day | gIcePath_B1F_Day | land, water, rock_smash, fishing
MAP_ICE_PATH_B1F | Evening | gIcePath_B1F_Evening | land, water, rock_smash, fishing
MAP_ICE_PATH_B1F | Night | gIcePath_B1F_Night | land, water, rock_smash, fishing
MAP_ICE_PATH_B2F | Morning | gIcePath_B2F_Morning | land, water, rock_smash, fishing
MAP_ICE_PATH_B2F | Day | gIcePath_B2F_Day | land, water, rock_smash, fishing
MAP_ICE_PATH_B2F | Evening | gIcePath_B2F_Evening | land, water, rock_smash, fishing
MAP_ICE_PATH_B2F | Night | gIcePath_B2F_Night | land, water, rock_smash, fishing
MAP_ICE_PATH_B3F | Morning | gIcePath_B3F_Morning | land, water, rock_smash, fishing
MAP_ICE_PATH_B3F | Day | gIcePath_B3F_Day | land, water, rock_smash, fishing
MAP_ICE_PATH_B3F | Evening | gIcePath_B3F_Evening | land, water, rock_smash, fishing
MAP_ICE_PATH_B3F | Night | gIcePath_B3F_Night | land, water, rock_smash, fishing
MAP_ICE_PATH_B4F | Morning | gIcePath_B4F_Morning | land, water, rock_smash, fishing
MAP_ICE_PATH_B4F | Day | gIcePath_B4F_Day | land, water, rock_smash, fishing
MAP_ICE_PATH_B4F | Evening | gIcePath_B4F_Evening | land, water, rock_smash, fishing
MAP_ICE_PATH_B4F | Night | gIcePath_B4F_Night | land, water, rock_smash, fishing
MAP_ILEX_FOREST | Morning | gIlexForest_Morning | land, water
MAP_ILEX_FOREST | Day | gIlexForest_Day | land, water
MAP_ILEX_FOREST | Evening | gIlexForest_Evening | land, water
MAP_ILEX_FOREST | Night | gIlexForest_Night | land, water
MAP_INDIGO_PLATEAU | Morning | gIndigo_Plateau_Morning | land, water, rock_smash, fishing
MAP_INDIGO_PLATEAU | Day | gIndigo_Plateau_Day | land, water, rock_smash, fishing
MAP_INDIGO_PLATEAU | Evening | gIndigo_Plateau_Evening | land, water, rock_smash, fishing
MAP_INDIGO_PLATEAU | Night | gIndigo_Plateau_Night | land, water, rock_smash, fishing
MAP_JAGGED_PASS | Morning | gJaggedPass_Morning | land
MAP_JAGGED_PASS | Day | gJaggedPass_Day | land
MAP_JAGGED_PASS | Evening | gJaggedPass_Evening | land
MAP_JAGGED_PASS | Night | gJaggedPass_Night | land
MAP_LAKE_OF_RAGE | Morning | gLakeOfRage_Morning | land, water, rock_smash, fishing
MAP_LAKE_OF_RAGE | Day | gLakeOfRage_Day | land, water, rock_smash, fishing
MAP_LAKE_OF_RAGE | Evening | gLakeOfRage_Evening | land, water, rock_smash, fishing
MAP_LAKE_OF_RAGE | Night | gLakeOfRage_Night | land, water, rock_smash, fishing
MAP_LAKE_OF_RAGE_LOW_TIDE | Morning | gLakeOfRageLowTide_Morning | land, water, rock_smash, fishing
MAP_LAKE_OF_RAGE_LOW_TIDE | Day | gLakeOfRageLowTide_Day | land, water, rock_smash, fishing
MAP_LAKE_OF_RAGE_LOW_TIDE | Evening | gLakeOfRageLowTide_Evening | land, water, rock_smash, fishing
MAP_LAKE_OF_RAGE_LOW_TIDE | Night | gLakeOfRageLowTide_Night | land, water, rock_smash, fishing
MAP_LILYCOVE_CITY | Morning | gLilycoveCity_Morning | water, fishing
MAP_LILYCOVE_CITY | Day | gLilycoveCity_Day | water, fishing
MAP_LILYCOVE_CITY | Evening | gLilycoveCity_Evening | water, fishing
MAP_LILYCOVE_CITY | Night | gLilycoveCity_Night | water, fishing
MAP_MAGMA_HIDEOUT_1F | Morning | gMagmaHideout_1F_Morning | land
MAP_MAGMA_HIDEOUT_1F | Day | gMagmaHideout_1F_Day | land
MAP_MAGMA_HIDEOUT_1F | Evening | gMagmaHideout_1F_Evening | land
MAP_MAGMA_HIDEOUT_1F | Night | gMagmaHideout_1F_Night | land
MAP_MAGMA_HIDEOUT_2F_1R | Morning | gMagmaHideout_2F_1R_Morning | land
MAP_MAGMA_HIDEOUT_2F_1R | Day | gMagmaHideout_2F_1R_Day | land
MAP_MAGMA_HIDEOUT_2F_1R | Evening | gMagmaHideout_2F_1R_Evening | land
MAP_MAGMA_HIDEOUT_2F_1R | Night | gMagmaHideout_2F_1R_Night | land
MAP_MAGMA_HIDEOUT_2F_2R | Morning | gMagmaHideout_2F_2R_Morning | land
MAP_MAGMA_HIDEOUT_2F_2R | Day | gMagmaHideout_2F_2R_Day | land
MAP_MAGMA_HIDEOUT_2F_2R | Evening | gMagmaHideout_2F_2R_Evening | land
MAP_MAGMA_HIDEOUT_2F_2R | Night | gMagmaHideout_2F_2R_Night | land
MAP_MAGMA_HIDEOUT_2F_3R | Morning | gMagmaHideout_2F_3R_Morning | land
MAP_MAGMA_HIDEOUT_2F_3R | Day | gMagmaHideout_2F_3R_Day | land
MAP_MAGMA_HIDEOUT_2F_3R | Evening | gMagmaHideout_2F_3R_Evening | land
MAP_MAGMA_HIDEOUT_2F_3R | Night | gMagmaHideout_2F_3R_Night | land
MAP_MAGMA_HIDEOUT_3F_1R | Morning | gMagmaHideout_3F_1R_Morning | land
MAP_MAGMA_HIDEOUT_3F_1R | Day | gMagmaHideout_3F_1R_Day | land
MAP_MAGMA_HIDEOUT_3F_1R | Evening | gMagmaHideout_3F_1R_Evening | land
MAP_MAGMA_HIDEOUT_3F_1R | Night | gMagmaHideout_3F_1R_Night | land
MAP_MAGMA_HIDEOUT_3F_2R | Morning | gMagmaHideout_3F_2R_Morning | land
MAP_MAGMA_HIDEOUT_3F_2R | Day | gMagmaHideout_3F_2R_Day | land
MAP_MAGMA_HIDEOUT_3F_2R | Evening | gMagmaHideout_3F_2R_Evening | land
MAP_MAGMA_HIDEOUT_3F_2R | Night | gMagmaHideout_3F_2R_Night | land
MAP_MAGMA_HIDEOUT_3F_3R | Morning | gMagmaHideout_3F_3R_Morning | land
MAP_MAGMA_HIDEOUT_3F_3R | Day | gMagmaHideout_3F_3R_Day | land
MAP_MAGMA_HIDEOUT_3F_3R | Evening | gMagmaHideout_3F_3R_Evening | land
MAP_MAGMA_HIDEOUT_3F_3R | Night | gMagmaHideout_3F_3R_Night | land
MAP_MAGMA_HIDEOUT_4F | Morning | gMagmaHideout_4F_Morning | land
MAP_MAGMA_HIDEOUT_4F | Day | gMagmaHideout_4F_Day | land
MAP_MAGMA_HIDEOUT_4F | Evening | gMagmaHideout_4F_Evening | land
MAP_MAGMA_HIDEOUT_4F | Night | gMagmaHideout_4F_Night | land
MAP_METEOR_FALLS_1F_1R | Morning | gMeteorFalls_1F_1R_Morning | land, water, fishing
MAP_METEOR_FALLS_1F_1R | Day | gMeteorFalls_1F_1R_Day | land, water, fishing
MAP_METEOR_FALLS_1F_1R | Evening | gMeteorFalls_1F_1R_Evening | land, water, fishing
MAP_METEOR_FALLS_1F_1R | Night | gMeteorFalls_1F_1R_Night | land, water, fishing
MAP_METEOR_FALLS_1F_2R | Morning | gMeteorFalls_1F_2R_Morning | land, water, fishing
MAP_METEOR_FALLS_1F_2R | Day | gMeteorFalls_1F_2R_Day | land, water, fishing
MAP_METEOR_FALLS_1F_2R | Evening | gMeteorFalls_1F_2R_Evening | land, water, fishing
MAP_METEOR_FALLS_1F_2R | Night | gMeteorFalls_1F_2R_Night | land, water, fishing
MAP_METEOR_FALLS_B1F_1R | Morning | gMeteorFalls_B1F_1R_Morning | land, water, fishing
MAP_METEOR_FALLS_B1F_1R | Day | gMeteorFalls_B1F_1R_Day | land, water, fishing
MAP_METEOR_FALLS_B1F_1R | Evening | gMeteorFalls_B1F_1R_Evening | land, water, fishing
MAP_METEOR_FALLS_B1F_1R | Night | gMeteorFalls_B1F_1R_Night | land, water, fishing
MAP_METEOR_FALLS_B1F_2R | Morning | gMeteorFalls_B1F_2R_Morning | land, water, fishing
MAP_METEOR_FALLS_B1F_2R | Day | gMeteorFalls_B1F_2R_Day | land, water, fishing
MAP_METEOR_FALLS_B1F_2R | Evening | gMeteorFalls_B1F_2R_Evening | land, water, fishing
MAP_METEOR_FALLS_B1F_2R | Night | gMeteorFalls_B1F_2R_Night | land, water, fishing
MAP_METEOR_FALLS_STEVENS_CAVE | Morning | gMeteorFalls_StevensCave_Morning | land
MAP_METEOR_FALLS_STEVENS_CAVE | Day | gMeteorFalls_StevensCave_Day | land
MAP_METEOR_FALLS_STEVENS_CAVE | Evening | gMeteorFalls_StevensCave_Evening | land
MAP_METEOR_FALLS_STEVENS_CAVE | Night | gMeteorFalls_StevensCave_Night | land
MAP_MIRAGE_TOWER_1F | Morning | gMirageTower_1F_Morning | land
MAP_MIRAGE_TOWER_1F | Day | gMirageTower_1F_Day | land
MAP_MIRAGE_TOWER_1F | Evening | gMirageTower_1F_Evening | land
MAP_MIRAGE_TOWER_1F | Night | gMirageTower_1F_Night | land
MAP_MIRAGE_TOWER_2F | Morning | gMirageTower_2F_Morning | land
MAP_MIRAGE_TOWER_2F | Day | gMirageTower_2F_Day | land
MAP_MIRAGE_TOWER_2F | Evening | gMirageTower_2F_Evening | land
MAP_MIRAGE_TOWER_2F | Night | gMirageTower_2F_Night | land
MAP_MIRAGE_TOWER_3F | Morning | gMirageTower_3F_Morning | land
MAP_MIRAGE_TOWER_3F | Day | gMirageTower_3F_Day | land
MAP_MIRAGE_TOWER_3F | Evening | gMirageTower_3F_Evening | land
MAP_MIRAGE_TOWER_3F | Night | gMirageTower_3F_Night | land
MAP_MIRAGE_TOWER_4F | Morning | gMirageTower_4F_Morning | land
MAP_MIRAGE_TOWER_4F | Day | gMirageTower_4F_Day | land
MAP_MIRAGE_TOWER_4F | Evening | gMirageTower_4F_Evening | land
MAP_MIRAGE_TOWER_4F | Night | gMirageTower_4F_Night | land
MAP_MOSSDEEP_CITY | Morning | gMossdeepCity_Morning | water, fishing
MAP_MOSSDEEP_CITY | Day | gMossdeepCity_Day | water, fishing
MAP_MOSSDEEP_CITY | Evening | gMossdeepCity_Evening | water, fishing
MAP_MOSSDEEP_CITY | Night | gMossdeepCity_Night | water, fishing
MAP_MT_MOON_CAVE | Morning | gMtMoon_Cave_Morning | land
MAP_MT_MOON_CAVE | Day | gMtMoon_Cave_Day | land
MAP_MT_MOON_CAVE | Evening | gMtMoon_Cave_Evening | land
MAP_MT_MOON_CAVE | Night | gMtMoon_Cave_Night | land
MAP_MT_MOON_OUTSIDE | Morning | gMtMoon_Outside_Morning | land, water, rock_smash, fishing
MAP_MT_MOON_OUTSIDE | Day | gMtMoon_Outside_Day | land, water, rock_smash, fishing
MAP_MT_MOON_OUTSIDE | Evening | gMtMoon_Outside_Evening | land, water, rock_smash, fishing
MAP_MT_MOON_OUTSIDE | Night | gMtMoon_Outside_Night | land, water, rock_smash, fishing
MAP_MT_MORTAR_1F_NORTH | Morning | gMtMortar_1F_North_Morning | land, water, rock_smash, fishing
MAP_MT_MORTAR_1F_NORTH | Day | gMtMortar_1F_North_Day | land, water, rock_smash, fishing
MAP_MT_MORTAR_1F_NORTH | Evening | gMtMortar_1F_North_Evening | land, water, rock_smash, fishing
MAP_MT_MORTAR_1F_NORTH | Night | gMtMortar_1F_North_Night | land, water, rock_smash, fishing
MAP_MT_MORTAR_1F_SOUTH | Morning | gMtMortar_1F_South_Morning | land, water, rock_smash, fishing
MAP_MT_MORTAR_1F_SOUTH | Day | gMtMortar_1F_South_Day | land, water, rock_smash, fishing
MAP_MT_MORTAR_1F_SOUTH | Evening | gMtMortar_1F_South_Evening | land, water, rock_smash, fishing
MAP_MT_MORTAR_1F_SOUTH | Night | gMtMortar_1F_South_Night | land, water, rock_smash, fishing
MAP_MT_MORTAR_2F | Morning | gMtMortar_2F_Morning | land, water, rock_smash, fishing
MAP_MT_MORTAR_2F | Day | gMtMortar_2F_Day | land, water, rock_smash, fishing
MAP_MT_MORTAR_2F | Evening | gMtMortar_2F_Evening | land, water, rock_smash, fishing
MAP_MT_MORTAR_2F | Night | gMtMortar_2F_Night | land, water, rock_smash, fishing
